"Star_key","star_name","DISTANCE (LIGHTYEARS)","star temperature","Star Mass","radius (sun)","Luminosity","type of star"
3500,"Eldritch Veil",28.98,3120,0.3,0.11,0.06,"M:1:V"
562,"Darkonix",111,2889,0.3,0.51,0.06,"M:5:V"
4819,"Quantumara",151.791,5732,0.9,1.1,0.97,"G:2:V"
9782,"Ravenfury",164,5485,0.9,0.96,1.33,"G:4:V"
9327,"Rimeblade",21.98,3108,0.3,0.24,0.06,"M:1:V"
1226,"Porrima",940.822,5286,0.8,0.98,0.6,"G:4:V"
7526,"Thunderpeak",1260.56,4031,0.7,0.9,0.54,"K:3:V"
35,"Alcor",1.295,3912,0.7,0.84,0.11,"K:7:V"
1446,"Umi Expanse",1510,2824,0.4,0.2,0.07,"M:2:V"
4831,"Castula",1041.34,2901,0.1,0.53,0.05,"M:2:V"
5347,"Umi Celestial",1018.95,2870,0.2,0.41,0.02,"M:4:V"
6667,"Frostfang",197.243,2402,0.1,0.61,0.03,"M:1:V"
6157,"Luminastra",893.336,4016,0.7,0.73,0.45,"K:5:V"
3506,"Lysian Nexus",1070.2055,2671,0.3,0.65,0.01,"M:2:V"
2737,"Nebulium",710.227,2682,0.1,0.02,0.06,"M:3:V"
7204,"Aetherion",52.9,5330,0.9,1.12,1.05,"G:5:V"
4589,"Yugen",511.771,3109,0.4,0.53,0,"M:2:V"
4580,"Abyssal Echoes",496.894,2664,0.4,0.39,0,"M:7:V"
2719,"Algieba",369.66,2714,0.3,0.3,0.02,"M:3:V"
7392,"Rigel",1541.31,5756,1,1.15,1.1,"G:2:V"
6048,"Ebon Cosmos",65.9,4762,0.5,0.73,0.17,"K:2:V"
6293,"Taygeta",16.1,4666,0.8,0.82,0.59,"K:2:V"
9788,"Orion's Echo",909.504,3502,0.2,0.54,0,"M:0:V"
2683,"Nebulous Silence",819.739,5188,0.7,0.84,0.12,"K:0:V"
2371,"Ankh Horizon",1224.44,2750,0.2,0.68,0.04,"M:5:V"
2903,"Lunar Mirage",149.57,2919,0.3,0.61,0.07,"M:3:V"
129,"Nikawiy",1312.85,2480,0.4,0.57,0.05,"M:3:V"
6433,"Alsafi",901.5,2565,0.4,0.23,0.01,"M:7:V"
4292,"Oborozuki",365,3229,0.2,0.55,0.05,"M:3:V"
4523,"Sekhmet's Resonance",116.99,2843,0.4,0.03,0,"M:4:V"
4105,"Baekdu",2.5461299,2402,0.2,0.57,0.01,"M:4:V"
2691,"Kaze Horizon",11.94,5530,0.9,0.99,1.09,"G:4:V"
3688,"Alterf",302,4495,0.5,0.95,0.37,"K:3:V"
2140,"Cosmic Whispers",738.136,3514,0.4,0.04,0.07,"M:0:V"
2408,"Cosmic Shadows",828.363,3939,0.5,0.75,0.3,"K:2:V"
147,"Zenitharian",333,4279,0.7,0.84,0.12,"K:5:V"
580,"Olympian Flux",230.36,2950,0.3,0.25,0.01,"M:3:V"
1898,"Tsuki's Beacon",577.6,3153,0.2,0.22,0.04,"M:0:V"
8808,"Berserkr",1769.29,2843,0.3,0.5,0.04,"M:0:V"
3844,"Fulu",769.172,2463,0.4,0.53,0.05,"M:1:V"
730,"Dìwö",532.42,3262,0.3,0.15,0.01,"M:2:V"
4810,"Heliconian Whispers",49.1,2456,0.4,0.59,0.02,"M:8:V"
