"planet_key","PLANET","Star_key","Mass","Relative Density","RELATIVE RADIUS","terrain type","Type Of Climate"
1,"Phact Octal",3576,5.73,1.167,1.7,"acid pool; river; grassland; ocean; verdant; hill","rocky; arid; artificial temperate; artic; temperate; frigid"
2,"Phact Quartal",3576,6.61,1.05,1.85,"rocky island; grassy hill","subartic; tropical; humid"
3,"Phact Prime",3576,7.69,1.483,1.73,"vine","temperate; rocky; artic; artificial temperate"
4,"Aldulfin Jiu",3182,4.15,1.398,1.44,"island; bog; plain","humid; superheated; frigid; hot; rocky; artificial temperate"
5,"Aldulfin Qi",3182,2.15,0.9,1.34,"rocky canyon; sinkholes; vine; bog; acid pool","humid; rocky; tropical; arid; superheated"
6,"Sylvarix Atlasios",1575,2.35,1.593,1.14,"urban; verdant; valley; hill","rocky; artic; subartic"
7,"Betelgeuse Omicron",3435,6.55,1.059,1.84,"mountain; lava river; cityscape","temperate; superheated; subartic"
8,"Maia Gaian",2775,1.93,0.753,1.37,"cityscape; ice cave; glacier; cave; jungle","windy; tropical; superheated; subartic"
9,"Maia Centaurios",2775,1.82,0.788,1.32,"cliff","frigid; frozen; tropical"
10,"Comet Veil X",6067,2.47,0.913,1.39,"swamp; cliff","hot; tropical"
11,"Comet Veil XII",6067,5.95,0.802,1.95,"rocky canyon; hill; ocean","temperate; rocky; hot; artificial temperate"
12,"Comet Veil VII",6067,1.97,0.825,1.34,"tundra; grassy hill; fungus forest; volcano; valley; verdant; cliff","arid; temperate; windy; humid; frozen; artificial temperate; hot"
13,"Tsuki's Nebula Pantheon",4209,1.43,1.165,1.07,"rainforest; bog; desert; urban","artificial temperate; hot; windy; tropical"
14,"Tsuki's Nebula Cerberian",4209,5.61,0.857,NA,"rocky island","rocky; subartic"
15,"Tsuki's Nebula Hestian",4209,5.1,1.408,1.54,"forest","rocky"
16,"Whispering Cosmos Theta",7516,1.82,0.859,1.28,"rocky island","temperate"
17,"Whispering Cosmos Delta",7516,6.81,1.643,1.61,"city; valley","windy; artificial temperate"
18,"Whispering Cosmos Omicron",7516,3.65,1.039,1.52,"rocky island; ocean; grassland","frigid; arid; temperate"
19,"Ombraflux Pantheon",7090,3.21,1.302,1.35,"island; grassland","temperate; superheated; arid; humid; subartic"
20,"Dracothra San",8179,1.37,0.799,1.2,"forest; cityscape; river; jungle","hot; subartic; humid; frigid"
21,"Dracothra Si",8179,7.66,0.464,2.55,"city; acid pool; cliff; valley; plateau","rocky; humid; temperate; windy"
22,"Sumi Cascade VI",2991,7.81,1.602,1.7,"forest; verdant; acid pool; field; rocky island; canyons","rocky; windy; subartic; humid; artificial temperate; temperate"
23,"Elkurud Liu",2365,1.33,0.742,1.21,"hill; savanna; field","frigid; windy; hot"
24,"Elkurud Shi",2365,6.07,0.854,1.92,"tundra; vine","subartic; windy; rocky"
25,"Elkurud Ba",2365,4.48,1.134,1.58,"jungle; rainforest; rocky canyon","frozen; frigid; tropical"
26,"Eonara VII",8471,0.81,0.919,0.96,"savanna; mountain","rocky; tropical"
27,"Eonara XI",8471,1.23,1.015,1.07,"urban; lakes; savanna; tundra; island; hill; sea; rainforest","frozen; artificial temperate; humid; arid; rocky"
